名前,読み方,3月6日,3月14日,3月21日,3月28日,4月4日,4月12日,4月16日,4月19日,4月22日,4月24日,5月2日,5月9日,5月16日,5月23日,5月30日,6月2日,6月6日,6月13日,6月20日,6月27日,7月4日
アダム・ナガイ,ADAM,2.1,2.4,2.8,4.4,7.2,8.6,8.9,9.0,9.2,9.2,9.5,9.8,10.0,10.3,10.5,10.5,10.7,10.8,11.0,11.0,11.1
中丸 晏寿,AJU,5.5,6,6.4,6.9,7.4,7.8,8.0,8.0,8.1,8.2,8.2,8.3,8.3,8.4,8.4,8.4,8.4,8.4,8.5,8.5,8.5
本荘 晃,AKIRA,,,,1.1,1.6,2.1,2.3,2.3,2.4,2.4,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7
オム・スアンカワーテン,AOM,1.3,1.5,1.7,1.8,2,2.2,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.5
アーチャー・ウイ,ARCHER,3.4,4.1,4.6,5.4,6.7,7.7,7.9,8.0,8.2,8.2,8.6,8.8,9.1,9.4,9.5,9.6,9.6,9.7,9.8,9.8,9.8
児島 歩夢,AYUMU.K,,,,0.6,1,1.3,1.4,1.4,1.5,1.6,1.7,1.8,1.8,1.9,2.0,2.0,2.0,2.1,2.2,2.3,2.3
篠ヶ谷 歩夢,AYUMU.S,3.7,4.2,4.5,5,5.6,6.2,6.3,6.4,6.5,6.6,6.7,6.9,7.0,7.2,7.4,7.4,7.5,7.7,7.8,8.0,8.1
小林 千悟,CHISATO,12,14,16,17,19,21.4,21.9,22.1,22.4,22.5,23.0,23.4,23.6,24.0,24.4,24.6,25.1,25.5,25.8,26.0,26.2
市川 大輝,DAIKI.I,,,,0.8,2.4,2.9,3.3,3.4,3.5,3.5,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.8,3.8,3.8
加藤 大樹,DAIKI.K,29,33,36,40,47,55.3,58.0,59.5,60.8,61.6,64.5,66.7,68.2,69.8,71.7,72.4,73.6,77.3,79.2,80.5,81.3
カク・ドンミン,DONGMIN,2.8,3.2,3.5,3.8,4.4,5,5.2,5.3,5.4,5.4,5.7,5.8,6.0,6.1,6.2,6.2,6.2,6.3,6.4,6.4,6.4
末川 瑛太,EITA,3,3.4,3.8,4.2,4.6,5.1,5.2,5.3,5.4,5.4,5.5,5.5,5.5,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
